"id","property_type","city","price","sq_m_built","n_bedrooms","bathrooms","floor","year_built","exterior","parking","log_price","city-neighborhood"
102122039,Flat / apartment,Santa Coloma de Gramenet,108400,81,3,1,3,1970,False,False,11,Santa Coloma de Gramenet - Santa Coloma de Gramenet
104334463,Flat / apartment,Santa Coloma de Gramenet,140000,70,3,1,0,1979,True,False,11,Santa Coloma de Gramenet - El Raval
103003662,Flat / apartment,Santa Coloma de Gramenet,95000,65,2,1,0,1970,False,False,11,Santa Coloma de Gramenet - Santa Coloma de Gramenet
102888462,Flat / apartment,Santa Coloma de Gramenet,90300,42,3,1,2,1970,False,False,11,Santa Coloma de Gramenet - Santa Coloma de Gramenet
96950598,Flat / apartment,Santa Coloma de Gramenet,102600,49,3,1,0,1970,False,False,11,Santa Coloma de Gramenet - Santa Coloma de Gramenet
102818242,Studio flat,Santa Coloma de Gramenet,112000,53,0,1,1,1970,False,False,11,Santa Coloma de Gramenet - Santa Coloma de Gramenet
104051901,Flat / apartment,Santa Coloma de Gramenet,189000,60,3,1,2,1971,True,False,12,Santa Coloma de Gramenet - Singuerlín
90895337,Flat / apartment,Santa Coloma de Gramenet,249000,220,3,3,0,1971,True,False,12,Santa Coloma de Gramenet - Singuerlín
98886889,Penthouse,Barcelona,275000,87,4,1,6,1954,True,False,12,Barcelona - La Font de la Guatlla
97154690,Detached house,Barcelona,2200000,570,7,6,4,2007,False,True,14,Barcelona - Sarrià-Sant Gervasi
103385026,Duplex,Barcelona,1990000,278,6,4,8,1963,True,False,14,Barcelona - Sant Gervasi - La Bonanova
103710057,Flat / apartment,Barcelona,1150000,192,4,3,8,1965,True,False,13,Barcelona - Sant Gervasi - La Bonanova
103485880,Flat / apartment,Barcelona,850000,110,3,2,1,2007,True,True,13,Barcelona - Sant Gervasi - La Bonanova
103076803,Flat / apartment,Barcelona,915000,204,5,3,2,2023,True,False,13,Barcelona - Sarrià-Sant Gervasi
103033380,Detached house,Barcelona,2990000,501,7,4,3,1965,False,True,14,Barcelona - Sant Gervasi - La Bonanova
103948048,Flat / apartment,Barcelona,470000,90,4,1,3,1942,True,False,13,Barcelona - Sant Gervasi - La Bonanova
103138062,Flat / apartment,Barcelona,730000,126,2,2,0,2009,True,False,13,Barcelona - Sant Gervasi - La Bonanova
102485516,Flat / apartment,Barcelona,788000,119,3,2,0,1965,True,False,13,Barcelona - Sant Gervasi - La Bonanova
104038633,Flat / apartment,Barcelona,1150000,195,4,2,7,1954,True,False,13,Barcelona - Sant Gervasi - La Bonanova
104010312,Flat / apartment,Barcelona,255000,70,2,1,3,1970,True,False,12,Barcelona - Vilapicina i la Torre Llobeta
103791341,Duplex,Barcelona,690000,193,3,3,1,2004,True,True,13,Barcelona - Vilapicina i la Torre Llobeta
104147970,Flat / apartment,Barcelona,219000,67,3,1,1,1966,False,False,12,Barcelona - Vilapicina i la Torre Llobeta
104204035,Flat / apartment,Barcelona,219000,74,3,1,1,1959,False,False,12,Barcelona - Nou Barris
98802866,Duplex,Barcelona,450000,250,3,2,0,1969,True,False,13,Barcelona - Vilapicina i la Torre Llobeta
104088357,Flat / apartment,Barcelona,192000,45,2,1,0,1956,False,False,12,Barcelona - Nou Barris
102492990,Flat / apartment,Barcelona,199000,80,3,1,1,1968,False,False,12,Barcelona - Nou Barris
98287712,Terraced house,Barcelona,765000,115,4,2,0,1977,False,False,13,Barcelona - Provençals del Poblenou
101126592,Flat / apartment,Barcelona,169500,66,3,1,0,1971,False,False,12,Barcelona - Sant Martí
104370603,Studio flat,Barcelona,140000,32,0,1,3,1936,True,False,11,Barcelona - Hostafrancs
104333436,Flat / apartment,Barcelona,310000,90,4,2,1,1969,True,False,12,Barcelona - Sants-Montjuïc
104263501,Studio flat,Barcelona,305000,76,0,2,0,1933,False,False,12,Barcelona - Hostafrancs
103598166,Flat / apartment,Barcelona,848000,154,3,1,0,1961,False,False,13,Barcelona - Pedralbes
104098575,Flat / apartment,Barcelona,1395000,182,4,2,4,1982,True,True,14,Barcelona - Pedralbes
103777228,Flat / apartment,Barcelona,1150000,134,3,2,2,1977,True,True,13,Barcelona - Pedralbes
104216426,Flat / apartment,Barcelona,1190000,188,5,3,2,1972,True,True,13,Barcelona - Pedralbes
