"PropertyTitle","Price","Rooms","Floors","Bedrooms","Living","Type","Condition","Standing","ConstructionYear","Total","Bathrooms","Land","ParkingLots(Outside)","ParkingLots(Inside)","Internal","Terraces","Garages(Outside)","Cellar","Beds"
PARIS 10E- APARTMENT- 6 ROOMS- 3 OR 4 BEDROOMS- 156 SQM- 1 649 400€,"$1,804,957",6,6,3,"156 m²",Condo/Apartment,Requires renovation,"",1890,"156 m²",,"",,,"","","","",""
"3-room apartment of 71 m2 for sale in Paris 15th arrondissement - Ideal for family or investor","$809,790",3,,2,"71 m²",Condo/Apartment,"","",1881,"71 m²",,"",,,"","","","",""
"75015 PARIS - BIR-HAKEIM / SEINE. SALE 3 ROOM APARTMENT","$683,944",3,6,2,"47.95 m²",Condo/Apartment,Excellent condition,"",1907,"",,"",,,"","","","",""
Reuilly Gardens - Duplex and view,"$711,302",3,5,2,"70 m²",Condo/Apartment,Excellent condition,"",,"81.67 m²",,"",,,"","","","",""
SOLE AGENT - 2-BEDROOM APARTMENT WITH TERRACE,"$1,077,896",3,,2,"80 m²",Condo/Apartment,Good condition,"",2006,"80 m²",,"",,,"","","","",""
PARIS XV - Charles Michels metro station (line 10),"$1,269,401",6,8,4,"110 m²",Condo/Apartment,Good condition,Regular,1970,"110 m²",,"",,,"","","","",""
PEACEFUL ONE-ROOM APARTMENT,"$476,025",1,4,,"21 m²",Condo/Apartment,Good condition,Regular,,"21 m²",,"",,,"","","","",""
"2 BEDROOMS - PERFECT CONDITION","$1,132,612",4,9,2,"95.02 m²",Condo/Apartment,Excellent condition,Regular,1959,"96 m²",,"",,,"","","","",""
TERRACE WITH PANORAMIC VIEW,"$831,676",2,10,1,"52.37 m²",Condo/Apartment,Excellent condition,Regular,1965,"",,"",,,"","","","",""
PARIS 5 EME - Exclusivity I 30 m² boutique,"$375,349",2,,,"28.4 m²",House,"","",,"34 m²",,"41.04 m²",,,"","","","",""
Refurbished 5-room apartment of 105m2 in Paris 17 Arc de Triomphe,"$1,832,971",5,6,3,"104.61 m²",Condo/Apartment,"","",1900,"105 m²",2,"",,,"","","","",""
"3-room apartment of 80m2 in the heart of the Marais very bright","$1,313,173",3,6,1,"77.03 m²",Condo/Apartment,"","",1890,"80 m²",1,"80.48 m²",,,"","","","",""
Sale magnificent renovated apartment 67m2 Paris 1 Madeleine,"$1,302,230",2,6,1,"66.03 m²",Condo/Apartment,"","",1900,"67 m²",1,"66.4 m²",,,"","","","",""
SALE apartment 130m2 top floor balconies terrace exceptional view,"$2,489,558",6,3,3,"115.27 m²",Condo/Apartment,"","",1933,"130 m²",2,"115.96 m²",1,,"","1","","",""
For sale 2 rooms of 25.50m2 to redo Paris 20 rue d'Avron,"$204,636",2,2,1,"25.5 m²",Condo/Apartment,"","",1980,"25.5 m²",1,"",,,"","","","",""
Sale local 6m2 Paris 6 rue de Seine,"$95,205",1,6,,"6.05 m²",Condo/Apartment,"","",1900,"6.05 m²",,"",,,"","","","",""
For sale beautiful 3 bedroom apartment with exteriors in Paris 16,"$1,510,149",6,7,3,"132 m²",Condo/Apartment,"","",1971,"138 m²",2,"",1,,"","","","6.7 m²",""
"Condo/Apartment for sale in Paris, France","$625,946",2,5,1,"42 m²",Condo/Apartment,"","",1850,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$530,741",2,6,1,"38 m²",Condo/Apartment,"","",1870,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,845,209",7,6,5,"225 m²",Condo/Apartment,"","",1900,"",3,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$630,323",3,6,2,"49 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,140,272",4,6,3,"101.54 m²",Condo/Apartment,"","",1770,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$744,131",3,4,2,"74.12 m²",Condo/Apartment,"","",1930,"",1,"",,,"","","","",""
Paris 16th - FLANDRIN - Apartment for sale - 5 rooms - 154.7sqm Carrez - 2 bedrooms.,"$1,947,874",5,8,2,"165.4 m²",Condo/Apartment,Requires renovation,Regular,1949,"165.4 m²",,"",,,"","","","",""
"2-room apartment 40 m2","$492,440",2,,1,"40 m²",Condo/Apartment,"","",1930,"",1,"",,,"","","","",""
"House for sale in Paris, France","$1,635,995",9,,6,"169 m²","","","",,"",,"134 m²",,,"","","","",""
"A stone's throw from the Luxembourg Gardens,","$333,765",1,,,"18 m²",Condo/Apartment,"","",1920,"",,"",,,"","","","",""
St Germain Market/Guisarde Street,"$268,106",1,,,"11.54 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Arsenal -  Gare de Lyon,"$426,781",1,,,"32.3 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Rue Mazarine,"$1,091,575",3,6,,"45.02 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Etienne Marcel - Montorgueil,"$729,905",3,6,2,"45.2 m²",Condo/Apartment,"","",1840,"",,"",,,"","","","",""
Etienne Marcel - Montorgueil,"$729,905",3,6,2,"45.2 m²",Condo/Apartment,"","",1840,"",,"",,,"","","","",""
Green Path Marais,"$612,814",2,7,1,"51 m²",Condo/Apartment,"","",1970,"",1,"",,,"","","","",""
"12° - LEDRU ROLLIN / BASTILLE - 2P","$597,494",2,6,1,"43.02 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Green Path Marais,"$612,814",2,7,1,"51 m²",Condo/Apartment,"","",1970,"",1,"",,,"","","","",""
Jardin du Luxembourg - Sorbonne,"$2,183,150",4,6,3,"114.77 m²",Condo/Apartment,"","",1900,"",1,"",,,"","","","",""
Charonne / Trousseau,"$645,643",2,,1,"57 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
RUE TROUSSEAU - ALIGRE,"$656,587",3,,1,"52 m²",Condo/Apartment,"","",,"",1,"27 m²",,,"","","","",""
Rue madame,"$700,359",2,6,1,"36.89 m²",Condo/Apartment,"","",1870,"",,"",,,"","","","",""
Archives,"$629,229",1,,1,"29 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
PARIS 75016 FOCH ETOILE,"$2,276,167",6,,,"174.55 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
Grenelle district (75015) - 2 rooms for sale.,"$256,069",2,6,,"24.2 m²",Condo/Apartment,"","",1908,"",,"",,,"","","","",""
Quartier Saint-Lambert (75015) - 2 rooms for sale.,"$383,009",2,6,1,"40 m²",Condo/Apartment,"","",1910,"",,"",,,"","","","",""
"3-ROOM APARTMENT - TOP FLOOR - TERRACE","$1,082,274",3,6,,"72 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
Cambronne - Grenelle,"$952,051",3,,,"61.32 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Montsouris Park,"$710,208",3,10,3,"73 m²",Condo/Apartment,"","",1961,"",1,"",,,"","","","",""
DUPLEX-APARTMENT 4 BEDROOMS - 150SQM,"$2,243,338",6,7,4,"148.25 m²",Condo/Apartment,Good condition,Regular,1910,"",,"",,,"","","","",""
PASTEUR MONTPARNASSE NEIGHBOURHOOD - TWO-ROOM APARTMENT,"$426,781",2,1,1,"39 m²",Condo/Apartment,Excellent condition,Regular,,"",,"",,,"","","","",""
CROSSING APARTMENT - TWO BEDROOMS - COMPLETELY RENOVATED,"$1,625,052",3,,2,"86 m²",Condo/Apartment,New,Luxury,1900,"86 m²",,"",,,"","","","",""
"Convention 120 square meters facing south, 4 bedrooms.","$1,285,815",6,8,4,"120 m²",Condo/Apartment,"","",,"",2,"",,,"","","","",""
FACING THE BOIS DE VINCENNES,"$640,172",3,3,2,"66 m²",Condo/Apartment,"","",1990,"",,"285.7 m²",,,"","","1","",""
Paris 5th /13th - Gobelins Mouffetard - Apartment for sale - 4 p,"$1,630,523",4,6,3,"99.87 m²",Condo/Apartment,"","",1880,"",,"",,,"","","","",""
Arts et Métiers / 2 pièces,"$465,082",2,,,"42.5 m²","","","",,"",,"",,,"","","","",""
MICHELANGELO MOLITOR - UNOBSTRUCTED VIEW,"$848,091",2,7,,"68 m²",Condo/Apartment,"","",1934,"",,"",,,"","","","",""
"2-room apartment","$414,744",2,,,"27.34 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Apartment with terrace,"$486,968",2,7,,"43.98 m²",Condo/Apartment,"","",1980,"",,"",,,"","","","",""
Paris 18th - ABBESSES / VILLA DES PLATANES - Apartment for sale,"$787,904",3,6,2,"54.66 m²",Condo/Apartment,"","",1900,"",1,"",,,"","","","",""
"Paris 18th - MARX DORMOY - Apartment to buy - 5 rooms - 136,","$1,088,839",5,6,3,"138.2 m²",Condo/Apartment,"","",1830,"",1,"",,,"","","","",""
Paris XVIII-Marx Dormoy- Studio 13m2- 150 000 euros,"$164,147",1,3,,"12.99 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"IVème, Marais - Saint-Paul - Pl. des Vosges, 2 rooms of 40m² -","$611,720",2,,1,"39.96 m²",Condo/Apartment,"","",1799,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,158,547",4,,3,"78 m²",Condo/Apartment,New,"",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$863,083",3,,2,"68 m²",Condo/Apartment,New,"",,"",1,"",,1,"","","","",""
View of the Arc de Triomphe for this exceptional apartment of 17,"$3,282,933",5,6,3,"175 m²",Condo/Apartment,"","",1890,"",1,"",,,"","","","",""
Exclusivity Ile Saint Louis. Rare. Charming 2-room apartment of 25.65m²,"$842,619",2,,1,"26 m²","","","",,"",,"",,,"","1","","",""
"Condo/Apartment for sale in Paris, France","$673,001",4,,3,"82 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$383,009",2,,1,"39 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$492,440",3,,2,"54 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$787,904",3,,2,"53 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$273,031",1,,1,"22 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Charming studio 11m² in the Wagram/ Perreire / Villier area,"$125,846",1,,1,"11 m²","","","",,"11 m²",1,"",,,"","","","",""
Furnished Studio Paris 5th,"$387,386",1,5,1,"28 m²",Condo/Apartment,"","",,"28 m²",1,"",,,"","","","",""
Apartment 2 rooms 49m2,"$716,774",2,6,1,"49 m²",Condo/Apartment,"","",1890,"49 m²",1,"",,,"21 m²","","","",""
Unobstructed view of the church of Notre Dame de Lorette and a few steps from the famous rue des Martyrs and its shops,"$1,630,523",4,6,2,"116 m²",Condo/Apartment,"","",1820,"116 m²",2,"",,,"25 m²","","","",""
Madeleine - 3/4 room apartment of 82 m2,"$973,937",4,,,"82 m²",Condo/Apartment,"","",1880,"82 m²",2,"",,,"26 m²","","","",""
For sale Studio in PARIS 11,"$158,675",1,,1,"13 m²",Condo/Apartment,"","",,"13 m²",1,"",,,"11 m²","","","",""
STUDIO | Ground floor | 24m²,"$328,293",1,3,,"20 m²",Condo/Apartment,"","",,"20 m²",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$393,952",2,,1,"54 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,088,839",5,,3,"138 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$381,915",2,,1,"36 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$569,042",3,,2,"52 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$519,798",2,,1,"45 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$366,594",2,,1,"36 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$280,144",2,,1,"30 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$651,115",3,,2,"63 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"House for sale in Paris, France","$1,526,564",6,,5,"145 m²",House,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$344,708",2,,1,"37 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$333,765",2,,1,"32 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$423,498",2,,1,"45 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Georges Brassens district - rue Brancion - 2P on the top floor,"$552,627",2,7,1,"49.45 m²","","","",,"49 m²",2,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$255,193",1,,,"26 m²","","","",,"",,"",,,"","","","",""
House 4 bedroom(s) for sale,"$1,634,901",7,,4,"175 m²",House,"","",1998,"175 m²",3,"",,,"","","","",""
SUPERB TWO-ROOM APARTMENT IN THE HEART OF THE MARAIS - 75004 PARIS,"$541,684",2,,,"34 m²","","","",,"34 m²",,"",,,"","","","",""
Condo/Apartment 1 bedroom(s) for sale,"$261,540",2,,1,"21 m²",Condo/Apartment,"","",1900,"21 m²",2,"",,,"","","","",""
Apartment 183 rue des Pyrénées,"$291,087",3,6,,"50.84 m²",Condo/Apartment,"","",1919,"50 m²",,"",,,"","","","",""
Apartment 19 rue Boyer Barret,"$612,814",3,6,2,"74.03 m²",Condo/Apartment,"","",1900,"74 m²",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$437,330",3,,1,"34 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$428,313",2,,1,"66 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,782,633",5,,4,"120 m²",Condo/Apartment,"","",,"",1,"",,2,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,064,965",5,,4,"135 m²",Condo/Apartment,"","",,"",1,"",,2,"","","","",""
"Condo/Apartment for sale in Paris, France","$594,211",2,,1,"54 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$278,502",1,,1,"17 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$886,392",4,,2,"87 m²",Condo/Apartment,"","",,"",2,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$600,777",3,,2,"50 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$383,009",2,,1,"30 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$262,087",1,,,"16 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"2 room apartment. New development of 37 m2 in Paris(75020)","$500,630",2,,1,"37 m²","","","",,"37 m²",1,"",,2,"","","","",""
"2-room apartment. New development of 35 m2 in Paris(75020)","$433,835",2,,1,"35 m²","","","",,"35 m²",1,"",,2,"","","","",""
"Condo/Apartment for sale in Paris, France","$425,687",3,,2,"56 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$820,733",2,,1,"63 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$508,855",2,,1,"46 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Apartment,"$1,356,946",5,,4,"136 m²",Condo/Apartment,"","",1932,"136 m²",,"",,,"","","","",""
Apartment,"$940,013",3,,2,"75 m²",Condo/Apartment,"","",,"75 m²",,"",,,"","","","",""
Apartment,"$574,513",3,,2,"50 m²",Condo/Apartment,"","",,"50 m²",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$481,497",3,,2,"47 m²",Condo/Apartment,Good condition,"",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$865,874",3,,2,"63 m²",Condo/Apartment,Excellent condition,"",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$317,350",2,,1,"30 m²",Condo/Apartment,Good condition,"",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$175,090",1,,,"18.5 m²",Condo/Apartment,Requires renovation,"",,"",,"",,,"","","","",""
Apartment - 4 rooms - 92 m² - Paris 75010,"$1,034,124",4,,3,"92 m²",Condo/Apartment,"","",,"92 m²",1,"",1,1,"","","","",""
Apartment - 3 rooms - 84 m² - Paris 75004,"$983,786",3,,2,"84 m²",Condo/Apartment,"","",,"84 m²",1,"",1,1,"","","","",""
Paris 14th - Alésia - Studio with balcony,"$289,992",1,,1,"28 m²",Condo/Apartment,"","",1970,"",,"",,,"","","","",""
Paris 8th Saint-Augustin Family Apartment,"$1,860,329",5,,3,"145 m²",Condo/Apartment,"","",1840,"",1,"",,,"","","","",""
Paris 11th - Philippe Auguste / Roquette Family Apartment,"$979,408",3,,2,"78 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
Paris 5th Port Royal Apartment,"$541,684",2,,1,"37 m²",Condo/Apartment,"","",1880,"",1,"",,,"","","","",""
BEAUTIFUL STUDIO REFURBISHED,"$326,105",1,,1,"34 m²","","","",,"",,"",,,"","","","",""
Apartment of 28m2 to buy in Paris 18,"$164,147",2,,1,"28 m²","","","",,"",,"",,,"","","","",""
For sale in Paris 18: 27m2 apartment with 2 rooms,"$109,431",2,,1,"27 m²","","","",,"",,"",,,"","","","",""
Apartment for sale 140000 € in Paris 13 (75),"$153,204",1,,,"35 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,307,702",4,,3,"117 m²",Condo/Apartment,"","",1912,"",2,"",,,"","","","",""
"Condo/Apartment for sale, 15th arrondissement of Paris, in Paris, France","$190,410",1,,,"22 m²",Condo/Apartment,"","",1902,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,750,898",5,,3,"121 m²",Condo/Apartment,"","",1884,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$212,570",2,,1,"26 m²",Condo/Apartment,"","",1910,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$322,822",2,,1,"28 m²",Condo/Apartment,"","",1950,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$216,674",1,,1,"15 m²",Condo/Apartment,"","",1976,"",1,"",,,"","","","",""
House for sale 3P - 72 m2 Quartier Batignolles Paris 17th,"$902,807",3,2,1,"72 m²",House,"","",,"72 m²",1,"",,,"36 m²","","","",""
Paris 17th BEAUTIFUL HAUSSMANNIAN apartment 4/5 rooms with BALCONY - PEREIRE/TERNES/COURCELLES,"$1,698,918",4,,2,"101 m²",Condo/Apartment,"","",1907,"101 m²",1,"",,,"38 m²","","","",""
Apartment for sale 4 rooms PARIS 19EME ARRONDISSEMENT (75),"$700,359",4,,3,"91 m²",Condo/Apartment,"","",1981,"91 m²",1,"",,,"38 m²","","","",""
Coup de coeur - Ideal investor or Parisian pied-à-terre - Ground floor,"$410,367",1,,,"37 m²","","","",,"37 m²",,"",,,"","","","",""
Paris 17 Mairie — Apartment F3 on the 5th floor with cellar,"$727,717",4,,2,"54.78 m²",Condo/Apartment,"","",1900,"54 m²",1,"",,,"","","","",""
Apartment Paris 11,"$722,245",3,,1,"67 m²","","","",,"67 m²",1,"",,,"","","","",""
Three-room apartment 65m2 rue du Rendez-Vous,"$625,946",3,,2,"65 m²",Condo/Apartment,"","",1900,"65 m²",,"",,,"","","","",""
Paris 18: 2-room apartment of 25.7 m2 to renovate,"$214,594",2,,1,"25.7 m²",Condo/Apartment,"","",1900,"25 m²",1,"",,,"","","","",""
"8.11 studio apartment on the top floor","$114,903",1,,,"8.11 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Paris 11th - Philippe Auguste / Roquette Family Apartment,"$979,408",3,,2,"78 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
Paris 8th Saint-Augustin Family Apartment,"$1,860,329",5,,3,"145 m²",Condo/Apartment,"","",1840,"",1,"",,,"","","","",""
Paris 14th - Alésia - Studio with balcony,"$289,992",1,,1,"28 m²",Condo/Apartment,"","",1970,"",,"",,,"","","","",""
Paris 5th Port Royal Apartment,"$541,684",2,,1,"37 m²",Condo/Apartment,"","",1880,"",1,"",,,"","","","",""
Studio apartment for sale in the heart of St Germain des Prés,"$492,440",1,,,"25.02 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Luxembourg 75006,"$1,192,799",3,,1,"60.25 m²",Condo/Apartment,"","",1880,"",,"",,,"","","","",""
"Magnificent apartment of 36.5 m2, quiet and with loggia","$358,934",1,,1,"36.23 m²",Condo/Apartment,"","",1978,"",1,"",1,,"","","","",""
Real estate complex - Gare de Lyon / Bastille,"$2,872,566",6,5,4,"254.84 m²",Condo/Apartment,"","",,"",2,"",1,,"","","","",""
Magnificent studio with garden,"$207,919",1,,,"13 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Magnificent studio with garden,"$207,919",1,,1,"14 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Apartment 36 m2 refurbished with cellar,"$415,619",2,,1,"36 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
Nice two-room apartment - Total painting of the apartment in progress,"$347,991",2,,1,"29.96 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Apartment T2 35,5m2 - near Place d'Italie Paris 13","$344,708",2,,1,"35.5 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Renovated studio 18 m2 Paris 5th Sorbonne/Austerlitz University,"$247,314",1,,,"18.01 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"PARIS 10th Canal St Martin - Duplex T2/3 41,46 m2 - 2 cellars","$491,893",2,2,1,"41.46 m²",Condo/Apartment,"","",1940,"",,"",,,"","","","",""
Canal de l'Ourcq / Quiet / Close to shops,"$399,424",2,,1,"39 m²",Condo/Apartment,"","",1950,"",1,"",,,"","","","",""
studio sector Croulebarbe,"$270,295",1,,,"19 m²",Condo/Apartment,"","",1975,"",,"",,,"","","","",""
PLACE FÉLIX ÉBOUÉ / TOP FLOOR / QUIET,"$107,242",1,,,"9 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
TWO-ROOM APARTMENT - INVESTMENT - REFURBISHED,"$309,690",2,,1,"30.02 m²",Condo/Apartment,"","",1951,"",,"",,,"","","","",""
Duplex Montparnasse,"$738,660",2,2,1,"52.37 m²",Condo/Apartment,"","",1929,"",,"",,,"","","","",""
Duplex Montparnasse,"$738,660",2,2,1,"52.37 m²",Condo/Apartment,"","",1929,"",,"",,,"","","","",""
Bright/Quiet/Privileged,"$298,200",1,,,"24 m²",Condo/Apartment,"","",1973,"",1,"",,,"","","","",""
Bright/Quiet,"$481,497",2,,1,"42 m²",Condo/Apartment,"","",1973,"",1,"",,,"","","","",""
"2 Room Apartment of 64m2, THROUGH, BRIGHT, RENOVATED, QUIET","$798,847",2,1,1,"64 m²",Condo/Apartment,"","",1760,"",,"",,,"","","","",""
PARIS XVI - AVE FOCH - SUPERB LOFT EXCELLENT CONDITION,"$744,131",2,1,1,"57 m²",Condo/Apartment,"","",1930,"",,"",,,"","","","",""
STUDIO 31.25 M2 PARIS 1st,"$328,293",1,,,"31.25 m²",Condo/Apartment,"","",1890,"",,"",,,"","","","","1"
"Condo/Apartment for sale, 7th (Invalides, Eiffel Tower, Orsay) HH-15053086, in Paris, France","$2,024,475",2,,2,"127 m²",Condo/Apartment,Requires renovation,"",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$486,968",2,,,"43 m²",Condo/Apartment,"","",1980,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$819,420",2,,1,"47 m²",Condo/Apartment,"","",1965,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$311,879",2,,1,"38 m²",Condo/Apartment,"","",2019,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$134,600",2,,1,"12 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,532,035",4,,3,"135 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$273,578",1,,,"37 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,176,585",5,,3,"134 m²",Condo/Apartment,"","",,"",1,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$71,130",1,,,"11 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$351,602",2,,1,"36 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$3,173,502",5,,3,"122 m²",Condo/Apartment,"","",1980,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$407,084",1,,,"26 m²",Condo/Apartment,"","",1967,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,641,467",5,,3,"107 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,511,444",7,,4,"234 m²",Condo/Apartment,"","",1905,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$454,139",3,,2,"41 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$294,370",1,,,"31 m²",Condo/Apartment,"","",,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$410,367",2,,1,"33 m²",Condo/Apartment,"","",1930,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,116,197",4,,3,"93 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$298,747",2,,1,"22 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,276,167",6,,,"174 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$465,082",3,,2,"50 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$357,840",2,,1,"31 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, FR","$273,578",2,,1,"20 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,616,297",5,,3,"111 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$148,826",1,,,"13 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$700,359",2,,1,"44 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$410,367",2,,1,"29 m²",Condo/Apartment,"","",1850,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$546,061",2,,,"35 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$180,561",1,,,"10 m²",Condo/Apartment,"","",1897,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$459,611",3,,2,"70 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$3,830,089",4,,,"350 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$590,928",2,,1,"55 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"96 m2, 2 bedroom apartment, 1 cellar, 1 parking box (in option)","$954,239",3,,2,"96 m²",Condo/Apartment,"","",1955,"",1,"",,,"","","","",""
